ID,freq,Rate,Power,speedup,powerup,freq_norm
1,3.3,1075.308846,237.13087,2.7248147832,3.3716407168,2.75
2,2.9,948.12641,186.195473,2.4025365995,2.6474167537,2.4166666667
3,2.8,915.033294,176.93697,2.3186791924,2.5157749068,2.3333333333
4,2.7,885.331797,167.948787,2.2434160915,2.3879765996,2.25
5,2.5,818.195773,150.12318,2.0732945201,2.1345235491,2.0833333333
6,2.4,782.787194,142.146921,1.9835697681,2.0211132638,2
7,2.3,754.320097,134.569929,1.9114346164,1.9133799487,1.9166666667
8,2.2,720.995952,127.063788,1.8269917856,1.8066540272,1.8333333333
9,2,656.204156,113.520762,1.662810449,1.6140927723,1.6666666667
10,1.9,623.033526,107.165934,1.5787566227,1.5237367726,1.5833333333
11,1.8,591.755616,101.243599,1.4994989174,1.4395301662,1.5
12,1.7,557.539041,95.139927,1.4127946838,1.3527452232,1.4166666667
13,1.6,525.388424,89.637832,1.3313255535,1.2745137912,1.3333333333
14,1.4,460.303697,79.468923,1.1664019347,1.1299273541,1.1666666667
15,1.3,426.698889,74.658994,1.0812479085,1.0615374711,1.0833333333
16,1.2,394.635574,70.331002,1,1,1
